"020000-000001";"Grundstück X200";"020000";"Land";"";"";"";"";"Aktiv"
"021000-000002";"Betriebsgebäude Kompakt";"021000";"Tangible";"";"";"";"";"Aktiv"
"021000-000003";"Betriebsgebäude Serie 3";"021000";"Tangible";"";"";"";"";"Aktiv"
"021000-000004";"Betriebsgebäude Typ A";"021000";"Tangible";"";"";"";"";"Aktiv"
"040000-000005";"Produktionsmaschine Halle II";"040000";"Tangible";"";"";"";"";"Abgang 29.08.2025"
"040000-000006";"Produktionsmaschine Kompakt";"040000";"Tangible";"";"";"";"";"Aktiv"
"040000-000007";"Produktionsmaschine";"040000";"Tangible";"";"";"";"";"Aktiv"
"040000-000008";"Produktionsmaschine X200";"040000";"Tangible";"";"";"";"";"Aktiv"
"040000-000009";"Produktionsmaschine Halle II";"040000";"Tangible";"";"";"";"";"Aktiv"
"040000-000010";"Produktionsmaschine Serie 3";"040000";"Tangible";"";"";"";"";"Aktiv"
"040000-000011";"Produktionsmaschine Typ B";"040000";"Tangible";"";"";"";"";"Aktiv"
"040000-000012";"Produktionsmaschine Typ A";"040000";"Tangible";"";"";"";"";"Aktiv"
"040000-000013";"Produktionsmaschine X200";"040000";"Tangible";"";"";"";"";"Aktiv"
"040000-000014";"Produktionsmaschine Kompakt";"040000";"Tangible";"";"";"";"";"Aktiv"
"040000-000015";"Produktionsmaschine Halle II";"040000";"Tangible";"";"";"";"";"Aktiv"
"040000-000016";"Produktionsmaschine Typ A";"040000";"Tangible";"";"";"";"";"Aktiv"
"040000-000017";"Produktionsmaschine Kompakt";"040000";"Tangible";"";"";"";"";"Aktiv"
"040000-000018";"Produktionsmaschine Typ A";"040000";"Tangible";"";"";"";"";"Aktiv"
"040000-000019";"Produktionsmaschine Halle II";"040000";"Tangible";"";"";"";"";"Aktiv"
"040000-000020";"Produktionsmaschine Linie 2";"040000";"Tangible";"";"";"";"";"Aktiv"
"040000-000021";"Produktionsmaschine Halle II";"040000";"Tangible";"";"";"";"";"Aktiv"
"040000-000022";"Produktionsmaschine Linie 3";"040000";"Tangible";"";"";"";"";"Aktiv"
"040000-000023";"Produktionsmaschine Halle II";"040000";"Tangible";"";"";"";"";"Aktiv"
"040000-000024";"Produktionsmaschine Typ B";"040000";"Tangible";"";"";"";"";"Aktiv"
"040000-000025";"Produktionsmaschine Typ A";"040000";"Tangible";"";"";"";"";"Aktiv"
"040000-000026";"Produktionsmaschine Serie 3";"040000";"Tangible";"";"";"";"";"Aktiv"
