Muster Verpackungen GmbH — Berechtigungsauswertung D365 per 31.12.2025;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9
;;;;;;;;;
Benutzer;Abteilung;Buchen;Journal freigeben;Zahlungslauf;Stammdaten/Kreditor anlegen;Perioden;Systemadmin;Management;Bemerkung
MV-U01;Vertrieb;X;;;;;;;
MV-U02;Leitung RW;X;X;X;X;X;;Ja;
MV-U03;Einkauf/Kreditoren;X;;;X;;;;
MV-U05;Einkauf;X;;X;X;;;;
MV-U08;Debitorenbuchhaltung;X;;;X;;;;
MV-U10;Rechnungswesen;X;X;;;X;;Ja;
MV-U11;Zahlungsverkehr;X;;X;;;;;
MV-U12;Zahlungsverkehr;X;;X;;;;;
Admin;IT/Schnittstellen;X;X;X;X;X;X;;Sammel-/Batch-Kennung, nicht personalisiert
