RECHNUNGSNUMMER;ART;DEBITOR;DEBITORNAME;FAKTURADATUM;LEISTUNGSDATUM;BETRAG_EUR;WAEHRUNG;BEMERKUNG
AR500000;Rechnung;100145;ATLAS RECYCLING SE;07.01.2025;07.01.2025;18857,00;EUR;
AR500001;Rechnung;100071;VEGA PAPIER GMBH;28.01.2025;28.01.2025;35108,00;EUR;
AR500002;Rechnung;100152;NORD WERKSTOFFE GMBH;23.01.2025;23.01.2025;42266,00;EUR;
AR500003;Rechnung;100089;LUPUS RECYCLING GMBH;03.01.2025;03.01.2025;6286,00;EUR;
AR500004;Rechnung;100121;FALKE WERKSTOFFE GMBH;04.01.2025;04.01.2025;32765,00;EUR;
AR500005;Rechnung;100016;MERKUR WERKSTOFFE SE;13.01.2025;13.01.2025;26482,00;EUR;
AR500006;Rechnung;100063;MERKUR DRUCK SE;11.01.2025;11.01.2025;28933,00;EUR;
AR500007;Rechnung;100152;NORD WERKSTOFFE GMBH;09.01.2025;09.01.2025;39774,00;EUR;
AR500008;Rechnung;100039;IRIS TECHNIK GMBH;29.01.2025;29.01.2025;31710,00;EUR;
AR500009;Rechnung;100038;SATURN MASCHINEN GMBH;17.01.2025;17.01.2025;49277,00;EUR;
AR500010;Rechnung;100041;PRISMA HANDEL E.K.;07.01.2025;07.01.2025;26116,00;EUR;
AR500011;Rechnung;100134;SOLUM TRANSPORT E.K.;24.01.2025;24.01.2025;16010,00;EUR;
AR500012;Rechnung;100150;SÜD RECYCLING GMBH;07.01.2025;07.01.2025;39127,00;EUR;
AR500013;Rechnung;100126;DELTA TECHNIK SE;14.01.2025;14.01.2025;31169,00;EUR;
AR500014;Rechnung;100014;ALPHA HANDEL GMBH;08.01.2025;08.01.2025;43994,00;EUR;
AR500015;Rechnung;100092;SATURN ETIKETTEN GMBH;31.01.2025;31.01.2025;1679,00;EUR;
AR500016;Rechnung;100140;MERKUR HANDEL E.K.;28.01.2025;28.01.2025;49059,00;EUR;
AR500017;Rechnung;100130;TITAN DISTRIBUTION GMBH;24.01.2025;24.01.2025;15159,00;EUR;
AR500018;Rechnung;100054;CIVES ETIKETTEN SE;07.01.2025;07.01.2025;8464,00;EUR;
AR500019;Rechnung;100156;KRANICH PAPIER GMBH & CO. KG;08.01.2025;08.01.2025;39068,00;EUR;
AR500020;Rechnung;100064;FALKE MASCHINEN GMBH;05.01.2025;05.01.2025;15480,00;EUR;
AR500021;Rechnung;100074;WEST LOGISTIK KG;24.01.2025;24.01.2025;983,00;EUR;
AR500022;Rechnung;100079;CORVUS KARTON GMBH;17.01.2025;17.01.2025;16145,00;EUR;
AR500023;Rechnung;100127;TERRA TECHNIK KG;20.01.2025;20.01.2025;14097,00;EUR;
AR500024;Rechnung;100100;KRONOS TRANSPORT SE;06.01.2025;06.01.2025;33014,00;EUR;
AR500025;Rechnung;100041;PRISMA HANDEL E.K.;08.01.2025;08.01.2025;27149,00;EUR;
AR500026;Rechnung;100154;CIVES WERKSTOFFE E.K.;30.01.2025;30.01.2025;39395,00;EUR;
AR500027;Rechnung;100090;WEST WERKSTOFFE GMBH;18.01.2025;18.01.2025;37857,00;EUR;
AR500028;Rechnung;100002;FOKUS DRUCK SE;03.01.2025;03.01.2025;53865,00;EUR;
AR500029;Rechnung;100045;HELIOS DRUCK GMBH;04.01.2025;04.01.2025;9255,00;EUR;
AR500030;Rechnung;100072;IRIS LOGISTIK E.K.;03.01.2025;03.01.2025;49004,00;EUR;
AR500031;Rechnung;100039;IRIS TECHNIK GMBH;27.01.2025;27.01.2025;16062,00;EUR;
AR500032;Rechnung;100029;PRISMA WERKSTOFFE SE;13.01.2025;13.01.2025;6114,00;EUR;
AR500033;Rechnung;100140;MERKUR HANDEL E.K.;04.01.2025;04.01.2025;9632,00;EUR;
AR500034;Rechnung;100147;NOVA BESCHICHTUNG KG;29.01.2025;29.01.2025;19590,00;EUR;
AR500035;Rechnung;100095;KRONOS MASCHINEN SE;02.01.2025;02.01.2025;10847,00;EUR;
AR500036;Rechnung;100089;LUPUS RECYCLING GMBH;31.01.2025;31.01.2025;9086,00;EUR;
AR500037;Rechnung;100027;BOREAS TRANSPORT AG;04.01.2025;04.01.2025;17508,00;EUR;
AR500038;Rechnung;100149;RATIO DISTRIBUTION GMBH;01.01.2025;01.01.2025;28146,00;EUR;
AR500039;Rechnung;100076;PACTUM LOGISTIK SE;10.01.2025;10.01.2025;26887,00;EUR;
AR500040;Rechnung;100151;KRONOS KUNSTSTOFF KG;25.01.2025;25.01.2025;54160,00;EUR;
AR500041;Rechnung;100093;TERRA RECYCLING GMBH;13.01.2025;13.01.2025;31284,00;EUR;
AR500042;Rechnung;100047;ADLER KARTON KG;03.01.2025;03.01.2025;19460,00;EUR;
AR500043;Rechnung;100078;FALKE SYSTEME GMBH;05.01.2025;05.01.2025;38597,00;EUR;
AR500044;Rechnung;100023;OST PAPIER SE;08.01.2025;08.01.2025;15553,00;EUR;
