Offene Einzelposten Debitoren (Auszug lfd. Jahr);Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4
;;;;
Konto;Name;Belegnummer;Belegdatum;Betrag EUR
100012;ATLAS FORMTEILE SE;AR501457;10.09.2025;59660.65
100109;SOLUM KARTON GMBH & CO. KG;AR501518;17.09.2025;15146.32
100092;SATURN ETIKETTEN GMBH;AR501570;16.10.2025;40990.74
100022;WEST INDUSTRIEBEDARF GMBH;AR501680;05.10.2025;19200.65
100154;CIVES WERKSTOFFE E.K.;AR501682;25.10.2025;53353.65
100093;TERRA RECYCLING GMBH;AR501701;16.11.2025;44317.98
100094;SATURN FORMTEILE SE;AR501704;19.11.2025;1606.5
100146;ORION KARTON GMBH;AR501711;18.11.2025;52939.53
100034;BOREAS PAPIER GMBH;AR501717;02.11.2025;27663.93
100001;FOKUS KUNSTSTOFF GMBH;AR501718;22.11.2025;58478.98
100059;FOKUS RECYCLING GMBH & CO. KG;AR501725;26.11.2025;30818.62
100089;LUPUS RECYCLING GMBH;AR501733;20.11.2025;3348.66
100026;IRIS KUNSTSTOFF E.K.;AR501738;28.11.2025;8782.2
100153;KRONOS INDUSTRIEBEDARF E.K.;AR501755;30.11.2025;16065
100103;IRIS MASCHINEN AG;AR501776;16.11.2025;6574.75
100039;IRIS TECHNIK GMBH;AR501800;27.11.2025;7038.85
100041;PRISMA HANDEL E.K.;AR501804;20.11.2025;9596.16
100058;VEGA ETIKETTEN GMBH & CO. KG;AR501815;15.11.2025;28763.49
100063;MERKUR DRUCK SE;AR501821;23.11.2025;1026.97
100043;DELTA BESCHICHTUNG GMBH & CO. KG;AR501824;03.11.2025;34581.4
100018;SOLUM RECYCLING AG;AR501825;28.11.2025;4136.44
100154;CIVES WERKSTOFFE E.K.;AR501829;07.11.2025;47081.16
100007;RATIO LOGISTIK GMBH;AR501832;16.11.2025;15811.53
100013;NOVA FORMTEILE GMBH;AR501854;19.11.2025;60694.76
100024;KRANICH HANDEL GMBH;AR501855;11.11.2025;8507.31
100084;FOKUS LOGISTIK AG;AR501868;21.11.2025;50021.65
100144;WEST CHEMIE SE;AR501870;26.12.2025;61775.28
100088;NOVA BESCHICHTUNG GMBH;AR501873;15.12.2025;61299.28
100098;PACTUM FOLIEN AG;AR501874;13.12.2025;52593.24
