Offene-Posten-Liste Debitoren per 31.12.2025 (Personenkonten);Unnamed: 1;Unnamed: 2;Unnamed: 3
;;;
Konto;Name;Gruppe;Saldo 31.12.2025
100000;FALKE FOLIEN E.K.;C-DOM;28490.98
100001;FOKUS KUNSTSTOFF GMBH;C-DOM;70675.29
100002;FOKUS DRUCK SE;C-DOM;177043.44
100004;PRISMA SYSTEME AG;C-DOM;66330.26
100005;CORVUS HANDEL KG;C-DOM;117217.38
100006;SÜD DRUCK GMBH;C-DOM;55233.22
100007;RATIO LOGISTIK GMBH;C-DOM;78426.95
100008;FALKE CHEMIE KG;C-DOM;95439.19
100009;TITAN TECHNIK GMBH;C-DOM;130153.87
100010;FOKUS TECHNIK GMBH;C-DOM;60269.99
100011;BOREAS BESCHICHTUNG E.K.;C-DOM;46821.74
100012;ATLAS FORMTEILE SE;C-DOM;59660.65
100013;NOVA FORMTEILE GMBH;C-DOM;116377.24
100014;ALPHA HANDEL GMBH;C-DOM;119536.69
100015;OST WERKSTOFFE AG;C-DOM;17679.83
100016;MERKUR WERKSTOFFE SE;C-DOM;119044.03
100017;HELIOS ETIKETTEN KG;C-DOM;71505.91
100018;SOLUM RECYCLING AG;C-DOM;73165.96
100019;POLLUX SYSTEME GMBH;C-DOM;17374
100020;ADLER TRANSPORT GMBH;C-EU;47244
100021;HELIOS RECYCLING GMBH;C-DOM;162461.18
100022;WEST INDUSTRIEBEDARF GMBH;C-DOM;75618.55
100023;OST PAPIER SE;C-DOM;199107.23
100024;KRANICH HANDEL GMBH;C-DOM;192707.41
100025;LUPUS CHEMIE AG;C-DOM;155033.32
100026;IRIS KUNSTSTOFF E.K.;C-DOM;97988.17
100027;BOREAS TRANSPORT AG;C-DOM;131878.79
100028;VEGA FOLIEN GMBH;C-DOM;106966.72
100029;PRISMA WERKSTOFFE SE;C-DOM;57511.51
100030;PRISMA ETIKETTEN AG;C-EU;84504
100031;RATIO PAPIER KG;C-DOM;164592.47
100032;OMEGA VERPACKUNG KG;C-DOM;69487.07
100033;WEST TECHNIK GMBH;C-EU;103921
100034;BOREAS PAPIER GMBH;C-DOM;62257.86
100035;CIVES TECHNIK GMBH;C-DOM;5635.84
100036;KRONOS PAPIER GMBH;C-DOM;123650.52
100037;PACTUM TECHNIK GMBH;C-DOM;171491.57
100038;SATURN MASCHINEN GMBH;C-DOM;116080.63
100039;IRIS TECHNIK GMBH;C-DOM;71347.64
100041;PRISMA HANDEL E.K.;C-DOM;27750.8
100042;ADLER HANDEL GMBH;C-DOM;74978.33
100043;DELTA BESCHICHTUNG GMBH & CO. KG;C-DOM;34581.4
100044;VEGA FORMTEILE GMBH;C-EU;64529
100045;HELIOS DRUCK GMBH;C-DOM;52997.84
100046;SÜD KUNSTSTOFF KG;C-DOM;175773.71
100047;ADLER KARTON KG;C-DOM;165906.23
100048;ATLAS ETIKETTEN GMBH & CO. KG;C-DOM;16781.38
100049;OST KARTON AG;C-DOM;31955.07
100050;OST CHEMIE GMBH;C-DOM;162485.11
100051;PACTUM DISTRIBUTION KG;C-DOM;43610
100052;ORION TRANSPORT GMBH;C-DOM;83449.49
100053;REIHER LOGISTIK GMBH;C-DOM;82931.86
100054;CIVES ETIKETTEN SE;C-DOM;77553.49
100055;ADLER DRUCK KG;C-DOM;31029
100056;NORD WERKSTOFFE SE;C-DOM;103069.47
100057;CORVUS FORMTEILE GMBH;C-DOM;62884.36
100058;VEGA ETIKETTEN GMBH & CO. KG;C-DOM;135191.14
100059;FOKUS RECYCLING GMBH & CO. KG;C-DOM;90093.71
100061;TERRA KARTON E.K.;C-DOM;140917.3
100062;POLLUX BESCHICHTUNG GMBH;C-DOM;78231.79
100063;MERKUR DRUCK SE;C-DOM;45186.68
100064;FALKE MASCHINEN GMBH;C-DOM;60368.7
100066;SOLUM PAPIER GMBH;C-DOM;14111.02
100067;NOVA DRUCK GMBH;C-DOM;70557.48
100068;VEGA ETIKETTEN KG;C-DOM;112084.91
100069;HELIOS WERKSTOFFE GMBH;C-EU;123689
100070;ADLER DRUCK GMBH;C-DOM;53327.47
100071;VEGA PAPIER GMBH;C-EU;130466
100072;IRIS LOGISTIK E.K.;C-DOM;212762.21
100073;KRANICH MASCHINEN AG;C-DOM;88690.7
100074;WEST LOGISTIK KG;C-DOM;26313.28
100075;FALKE ETIKETTEN E.K.;C-EU;75158
100076;PACTUM LOGISTIK SE;C-DOM;3802.05
100077;KRANICH FORMTEILE E.K.;C-DOM;116617.62
100078;FALKE SYSTEME GMBH;C-DOM;71598.73
100079;CORVUS KARTON GMBH;C-DOM;74897.22
100080;RATIO SYSTEME GMBH;C-DOM;11443.04
100081;ADLER RECYCLING GMBH;C-DOM;98652.19
100082;NORD PAPIER KG;C-DOM;107485.56
100083;MERKUR MASCHINEN GMBH;C-DOM;82627.61
100084;FOKUS LOGISTIK AG;C-DOM;88893
100085;WEST LOGISTIK GMBH;C-DOM;12650.89
100086;HELIOS FOLIEN GMBH & CO. KG;C-DOM;191894.64
100087;SOLUM VERPACKUNG GMBH;C-DOM;175120.4
100088;NOVA BESCHICHTUNG GMBH;C-DOM;191459.1
100089;LUPUS RECYCLING GMBH;C-DOM;51334.22
100090;WEST WERKSTOFFE GMBH;C-DOM;45049.83
100091;RATIO RECYCLING AG;C-DOM;121751.28
100092;SATURN ETIKETTEN GMBH;C-DOM;80523.74
100093;TERRA RECYCLING GMBH;C-DOM;97500.27
100094;SATURN FORMTEILE SE;C-DOM;56340.43
100095;KRONOS MASCHINEN SE;C-DOM;132759.97
100096;ALPHA SYSTEME E.K.;C-EU;65111
100097;VEGA WERKSTOFFE KG;C-DOM;71636.81
100098;PACTUM FOLIEN AG;C-DOM;107266.6
100099;VEGA CHEMIE KG;C-EU;181542
100100;KRONOS TRANSPORT SE;C-DOM;159464.76
100101;WEST KARTON GMBH;C-DOM;150646.85
100102;CASTOR FORMTEILE GMBH;C-DOM;40915.77
100103;IRIS MASCHINEN AG;C-DOM;71678.96
100104;NORD INDUSTRIEBEDARF GMBH;C-DOM;27913.83
100105;WEST SYSTEME GMBH & CO. KG;C-DOM;49893.13
100106;ALPHA RECYCLING AG;C-DOM;73039.02
100107;CASTOR VERPACKUNG AG;C-DOM;16847
100108;ATLAS MASCHINEN AG;C-DOM;147420.77
100109;SOLUM KARTON GMBH & CO. KG;C-DOM;98844.97
100111;PACTUM RECYCLING E.K.;C-DOM;73406.34
100112;WEST CHEMIE GMBH & CO. KG;C-EU;45240
100113;MERKUR RECYCLING E.K.;C-DOM;92235.71
100114;ATLAS CHEMIE GMBH;C-DOM;202956.88
100115;BOREAS KUNSTSTOFF KG;C-DOM;59573.78
100116;KRANICH MASCHINEN KG;C-DOM;18216.52
100117;ATLAS HANDEL E.K.;C-DOM;116999.08
100118;LUPUS PAPIER GMBH;C-DOM;61323.08
100119;TITAN WERKSTOFFE GMBH & CO. KG;C-DOM;28003.62
100120;WEST TECHNIK SE;C-DOM;104780.69
100122;FOKUS SYSTEME GMBH;C-DOM;125896.8
100123;SÜD CHEMIE GMBH & CO. KG;C-DOM;20704.81
100124;MERKUR MASCHINEN KG;C-DOM;114284.07
100125;AURORA HANDEL GMBH;C-DOM;80414.25
100126;DELTA TECHNIK SE;C-DOM;47528.6
100127;TERRA TECHNIK KG;C-DOM;86595.11
100128;RATIO INDUSTRIEBEDARF AG;C-DOM;80528.49
100129;ALPHA PAPIER E.K.;C-DOM;235462.66
100130;TITAN DISTRIBUTION GMBH;C-DOM;117746.93
100131;WEST FORMTEILE GMBH;C-DOM;154521.09
100132;CORVUS CHEMIE KG;C-DOM;65197.72
100133;ADLER FORMTEILE GMBH & CO. KG;C-DOM;79349.2
100134;SOLUM TRANSPORT E.K.;C-DOM;67768.12
100135;PACTUM KARTON E.K.;C-DOM;145202.36
100136;KRANICH LOGISTIK GMBH;C-DOM;65955.75
100137;PRISMA DISTRIBUTION GMBH;C-DOM;45503.22
100138;ALPHA FOLIEN GMBH;C-EU;95284
100139;RATIO BESCHICHTUNG KG;C-DOM;79246.32
100140;MERKUR HANDEL E.K.;C-EU;4230
100141;SOLUM TRANSPORT KG;C-DOM;45699.57
100142;NOVA RECYCLING SE;C-DOM;14043.19
100143;NOVA WERKSTOFFE KG;C-DOM;10654.07
100144;WEST CHEMIE SE;C-DOM;66365.11
100145;ATLAS RECYCLING SE;C-DOM;138279.19
100146;ORION KARTON GMBH;C-DOM;90211.31
100147;NOVA BESCHICHTUNG KG;C-DOM;50764.21
100148;AURORA INDUSTRIEBEDARF GMBH & CO. KG;C-DOM;66131.87
100149;RATIO DISTRIBUTION GMBH;C-DOM;120253.07
