Offene-Posten-Liste Kreditoren per 31.12.2025 (Personenkonten);Unnamed: 1;Unnamed: 2;Unnamed: 3
;;;
Konto;Name;Gruppe;Saldo 31.12.2025
200000;Delta Distribution SE;V-DOM;-154326.46
200001;Boreas Distribution KG;V-DOM;-14063.42
200002;Vega Systeme e.K.;V-DOM;-98079.8
200003;Iris Industriebedarf KG;V-DOM;-571200
200004;Ratio Maschinen e.K.;V-DOM;-20791.68
200005;Kronos Technik KG;V-DOM;-334736.1
200006;Cives Maschinen GmbH;V-DOM;-91481.25
200007;Castor Papier GmbH;V-DOM;-112932.24
200008;Vega Recycling GmbH;V-DOM;-115001.6
200009;Titan Transport SE;V-DOM;-168137.48
200010;West Handel GmbH;V-DOM;-114842.14
200011;Boreas Druck GmbH & Co. KG;V-DOM;-40966.59
200013;West Papier AG;V-DOM;-180182.66
200015;Omega Transport GmbH;V-DOM;-40109
200016;Kranich Druck e.K.;V-DOM;-122533.09
200017;Orion Handel GmbH & Co. KG;V-DOM;-215680.36
200018;Titan Kunststoff AG;V-DOM;-135502.92
200019;Süd Handel e.K.;V-DOM;-87788.68
200020;Reiher Etiketten KG;V-DOM;-50031.17
200021;Süd Chemie GmbH;V-DOM;-109454.9
200022;Solum Kunststoff GmbH;V-DOM;-29193.08
200023;Orion Werkstoffe SE;V-DOM;-46617.06
200024;Atlas Distribution GmbH;V-DOM;-130124.12
200025;Ratio Beschichtung KG;V-DOM;-98453.46
200026;Prisma Formteile e.K.;V-DOM;-77785.54
200027;Titan Beschichtung SE;V-DOM;-117236.42
200028;Merkur Kunststoff GmbH;V-DOM;-345022.65
200029;West Logistik KG;V-DOM;-49978.81
200030;Pactum Maschinen e.K.;V-DOM;-202828.36
200032;Iris Karton GmbH;V-DOM;-206777.27
200033;Aurora Formteile e.K.;V-DOM;-42807.87
200034;Cives Transport GmbH;V-DOM;-36408.2
200035;Fokus Handel GmbH;V-DOM;-151025.28
200036;Titan Recycling GmbH & Co. KG;V-DOM;-228327.68
200039;Corvus Formteile GmbH;V-DOM;-85425.34
200041;Corvus Karton KG;V-DOM;-163245.39
200042;Orion Technik GmbH;V-DOM;-107008.37
200043;Delta Etiketten GmbH;V-DOM;-52005.38
200044;Delta Etiketten GmbH & Co. KG;V-DOM;-114736.23
200045;Ost Industriebedarf GmbH;V-DOM;-63795.9
200046;Kronos Handel GmbH;V-DOM;-177945.46
200047;Terra Verpackung SE;V-DOM;-111188.84
200048;Vega Chemie GmbH;V-DOM;-25697.9
200049;Aurora Technik GmbH;V-DOM;-122342.71
200050;Titan Technik GmbH;V-DOM;-51783.97
200051;Corvus Transport SE;V-DOM;-159343.23
200052;Solum Chemie GmbH;V-DOM;-167386.21
200053;Castor Industriebedarf SE;V-DOM;-71510.67
200054;Saturn Folien GmbH;V-DOM;-168913.36
200055;Ost Kunststoff AG;V-DOM;-126249.48
200056;Nova Technik GmbH;V-DOM;-74402
200057;Saturn Maschinen GmbH;V-DOM;-96937.4
200058;Alpha Werkstoffe GmbH;V-DOM;-32084.78
200059;Lupus Handel SE;V-DOM;-212032.7
200060;Merkur Chemie KG;V-DOM;-11277.63
200061;Iris Etiketten SE;V-DOM;-188171.35
200062;Pactum Industriebedarf GmbH & Co. KG;V-DOM;-124118.19
200064;Titan Papier GmbH;V-DOM;-102894.54
200066;Castor Transport KG;V-DOM;-84864.85
200067;Ost Recycling GmbH;V-DOM;-19724.25
200069;Ost Folien e.K.;V-DOM;-290235.05
200070;Kronos Etiketten e.K.;V-DOM;-95136.93
200071;Pactum Handel GmbH;V-DOM;-27066.55
200072;Cives Handel KG;V-DOM;-102256.7
200073;Cives Handel GmbH & Co. KG;V-DOM;-24049.9
200074;Delta Kunststoff GmbH;V-DOM;-126448.78
200075;Delta Logistik SE;V-DOM;-18613.98
200076;Alpha Beschichtung e.K.;V-DOM;-56867.72
200077;Alpha Transport AG;V-DOM;-99647.03
200079;Titan Papier AG;V-DOM;-5665.59
200080;Pactum Transport e.K.;V-DOM;-39077.22
200081;Orion Maschinen GmbH;V-DOM;-85462.23
200082;Fokus Industriebedarf GmbH;V-DOM;-28383
200083;Castor Chemie GmbH & Co. KG;V-DOM;-114224.53
200084;Ratio Druck SE;V-DOM;-74775.01
200085;Orion Logistik AG;V-DOM;-134568.77
200086;Adler Papier GmbH;V-DOM;-61588.45
200087;Pollux Werkstoffe GmbH;V-DOM;-90780.34
200088;Saturn Recycling GmbH;V-DOM;-146489.09
200089;Nova Transport GmbH & Co. KG;V-DOM;-122178.49
200090;Pactum Chemie SE;V-DOM;-94031.42
200091;Nova Recycling AG;V-DOM;-119798.49
200092;Titan Verpackung KG;V-DOM;-49023.24
200093;Pactum Druck GmbH;V-DOM;-80263.65
200094;Solum Handel e.K.;V-DOM;-34237.49
200096;Terra Beschichtung GmbH;V-DOM;-61504.77
200097;Saturn Distribution e.K.;V-DOM;-17894
200098;Prisma Systeme GmbH & Co. KG;V-DOM;-116055.54
200099;Nova Systeme SE;V-DOM;-64124.34
200100;Pollux Verpackung e.K.;V-DOM;-55540.87
200101;Prisma Etiketten SE;V-DOM;-64352.74
200102;Orion Maschinen e.K.;V-DOM;-43284.83
200103;Omega Recycling GmbH;V-DOM;-122530.73
200104;Kronos Verpackung AG;V-DOM;-107282.07
200105;Castor Recycling GmbH & Co. KG;V-DOM;-121829.21
200106;Vega Werkstoffe AG;V-DOM;-142283.54
200107;Cives Etiketten SE;V-DOM;-98289.24
200108;Castor Distribution GmbH;V-DOM;-103799.09
200109;Lupus Papier e.K.;V-DOM;-201643.12
200110;Saturn Formteile GmbH;V-DOM;-47699.96
200111;Corvus Maschinen KG;V-DOM;-155850.41
200112;Cives Maschinen GmbH & Co. KG;V-DOM;-81160.38
200113;Pollux Systeme GmbH & Co. KG;V-DOM;-15663.97
200114;Merkur Etiketten AG;V-DOM;-59128.72
200115;Castor Maschinen SE;V-DOM;-127404.97
200116;Lupus Werkstoffe GmbH;V-DOM;-218074.64
200117;Titan Maschinen GmbH;V-DOM;-137293.87
200118;Nova Chemie GmbH & Co. KG;V-DOM;-108282.86
200119;Castor Formteile KG;V-DOM;-103303.9
200120;Atlas Formteile KG;V-DOM;-134674.52
200121;Vega Kunststoff AG;V-DOM;-68129.88
200122;Fokus Beschichtung GmbH;V-DOM;-212942.63
200123;Kronos Folien KG;V-DOM;-48087.9
200124;Iris Technik GmbH & Co. KG;V-DOM;-209240.08
200126;Corvus Handel GmbH;V-DOM;-142661.96
200127;Ost Systeme e.K.;V-DOM;-89090.54
200128;Helios Karton KG;V-DOM;-106856.05
200129;Omega Papier AG;V-DOM;-130372.83
209110;Nord Logistik GmbH;V-DOM;-21490.21
209111;Nordlicht Logistik GmbH;V-DOM;-17949.96
209112;Vega Werkstoffe GmbH;V-DOM;-56697.55
209113;Muster Beteiligungs GmbH, Wien;V-IC-EU;-220000
