Muster Verpackungen GmbH, Musterhausen;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6
Summen- und Saldenliste per 31.12.2025 (Quelle: D365-Export);;;;;;
;;;;;;
Konto;Bezeichnung;Kontenart;EB 01.01.2025;Soll 2025;Haben 2025;Saldo 31.12.2025
020000;Grundstücke;Bilanz;0;2339597;0;
021000;Gebäude und Außenanlagen;Bilanz;0;2043939;417604.56;
040000;Maschinen und maschinelle Anlagen;Bilanz;0;8623198;529199.56;
060000;Betriebs- und Geschäftsausstattung;Bilanz;0;4325050;417604.56;
062000;EDV-Hardware;Bilanz;0;3652903;417604.56;
070000;Anlagen im Bau;Bilanz;0;526341;0;
110000;Roh-, Hilfs- und Betriebsstoffe;Bilanz;0;44698861;37700166.96;
160000;Fertigerzeugnisse;Bilanz;0;44100166.96;37700166.96;
176000;Handelsware;Bilanz;0;1580000;0;
147000;Vorsteuer;Bilanz;0;8380414.36;7505950.38;
230000;Forderungen aus L.u.L.;Bilanz;0;66567814.8;53155271.75;
260000;Sonstige Vermögensgegenstände;Bilanz;0;0;0;
271000;Bank Girokonto Handelsbank;Bilanz;0;54120956.75;46702795.21;
272000;Bank Kontokorrent Musterbank;Bilanz;0;0;0;
288000;Kasse;Bilanz;0;0;0;
300000;Gezeichnetes Kapital und Rücklagen;Bilanz;0;0;36841565;
302000;Sonstige Rückstellungen;Bilanz;0;0;891500;
305000;Steuerrückstellungen;Bilanz;0;0;0;
330000;Verbindlichkeiten aus L.u.L.;Bilanz;0;40233008.36;53441863.36;
332000;Kreditorische Debitoren;Bilanz;0;0;691260;
340000;Verbindlichkeiten Kreditinstitute;Bilanz;0;0;1400000;
347200;Umsatzsteuer;Bilanz;0;8914195.23;9694050.8;
360000;Sonstige Verbindlichkeiten;Bilanz;0;2384252.4;2384252.4;
400000;Umsatzerlöse Inland 19%;GuV;0;18500;51021320;
408000;Umsatzerlöse Export EU 0%;GuV;0;0;4438602;
440020;Umsatzboni und Rückvergütungen;GuV;0;691260;0;
480000;Sonstige betriebliche Erträge;GuV;0;0;0;
500000;Materialaufwand / Wareneinsatz;GuV;0;37700166.96;0;
510000;Bezugsnebenkosten;GuV;0;698229;0;
600000;Löhne und Gehälter;GuV;0;4110780;0;
610000;Soziale Abgaben;GuV;0;822156;0;
620000;Abschreibungen;GuV;0;1670418.24;0;
670000;Instandhaltung und Reparaturen;GuV;0;754560;0;
671000;Energie;GuV;0;610691;0;
672000;Mieten und Leasing;GuV;0;624475;0;
673000;Rechts- und Beratungskosten;GuV;0;948809;0;
674000;Werbe- und Reisekosten;GuV;0;716885;0;
675000;Fuhrpark;GuV;0;739215;0;
676000;Versicherungen und Beiträge;GuV;0;601029;0;
677000;Sonstiger Betriebsbedarf;GuV;0;1137417;0;
680000;Konzernumlage / Verwaltungsleistungen;GuV;0;889445;0;
700000;Zinsaufwand;GuV;0;126044;0;
710000;Zinsertrag;GuV;0;0;0;
;Summe;;;;;
