WARENAUSGANG_NR;WARENAUSGANG_DATUM;RECHNUNGSNUMMER;DEBITOR;DEBITORNAME;BETRAG_EUR;LAGERORT
WA300000;07.01.2025;AR500000;100145;ATLAS RECYCLING SE;18857,00;Werk Musterhausen
WA300001;28.01.2025;AR500001;100071;VEGA PAPIER GMBH;35108,00;Werk Musterhausen
WA300002;23.01.2025;AR500002;100152;NORD WERKSTOFFE GMBH;42266,00;Werk Musterhausen
WA300003;03.01.2025;AR500003;100089;LUPUS RECYCLING GMBH;6286,00;Werk Musterhausen
WA300004;04.01.2025;AR500004;100121;FALKE WERKSTOFFE GMBH;32765,00;Werk Musterhausen
WA300005;13.01.2025;AR500005;100016;MERKUR WERKSTOFFE SE;26482,00;Werk Musterhausen
WA300006;11.01.2025;AR500006;100063;MERKUR DRUCK SE;28933,00;Werk Musterhausen
WA300007;09.01.2025;AR500007;100152;NORD WERKSTOFFE GMBH;39774,00;Werk Musterhausen
WA300008;29.01.2025;AR500008;100039;IRIS TECHNIK GMBH;31710,00;Werk Musterhausen
WA300009;17.01.2025;AR500009;100038;SATURN MASCHINEN GMBH;49277,00;Werk Musterhausen
WA300010;07.01.2025;AR500010;100041;PRISMA HANDEL E.K.;26116,00;Werk Musterhausen
WA300011;24.01.2025;AR500011;100134;SOLUM TRANSPORT E.K.;16010,00;Werk Musterhausen
WA300012;07.01.2025;AR500012;100150;SÜD RECYCLING GMBH;39127,00;Werk Musterhausen
WA300013;14.01.2025;AR500013;100126;DELTA TECHNIK SE;31169,00;Werk Musterhausen
WA300014;08.01.2025;AR500014;100014;ALPHA HANDEL GMBH;43994,00;Werk Musterhausen
WA300015;31.01.2025;AR500015;100092;SATURN ETIKETTEN GMBH;1679,00;Werk Musterhausen
WA300016;28.01.2025;AR500016;100140;MERKUR HANDEL E.K.;49059,00;Werk Musterhausen
WA300017;24.01.2025;AR500017;100130;TITAN DISTRIBUTION GMBH;15159,00;Werk Musterhausen
WA300018;07.01.2025;AR500018;100054;CIVES ETIKETTEN SE;8464,00;Werk Musterhausen
WA300019;08.01.2025;AR500019;100156;KRANICH PAPIER GMBH & CO. KG;39068,00;Werk Musterhausen
WA300020;05.01.2025;AR500020;100064;FALKE MASCHINEN GMBH;15480,00;Werk Musterhausen
WA300021;24.01.2025;AR500021;100074;WEST LOGISTIK KG;983,00;Werk Musterhausen
WA300022;17.01.2025;AR500022;100079;CORVUS KARTON GMBH;16145,00;Werk Musterhausen
WA300023;20.01.2025;AR500023;100127;TERRA TECHNIK KG;14097,00;Werk Musterhausen
WA300024;06.01.2025;AR500024;100100;KRONOS TRANSPORT SE;33014,00;Werk Musterhausen
WA300025;08.01.2025;AR500025;100041;PRISMA HANDEL E.K.;27149,00;Werk Musterhausen
WA300026;30.01.2025;AR500026;100154;CIVES WERKSTOFFE E.K.;39395,00;Werk Musterhausen
WA300027;18.01.2025;AR500027;100090;WEST WERKSTOFFE GMBH;37857,00;Werk Musterhausen
WA300028;03.01.2025;AR500028;100002;FOKUS DRUCK SE;53865,00;Werk Musterhausen
WA300029;04.01.2025;AR500029;100045;HELIOS DRUCK GMBH;9255,00;Werk Musterhausen
WA300030;03.01.2025;AR500030;100072;IRIS LOGISTIK E.K.;49004,00;Werk Musterhausen
WA300031;27.01.2025;AR500031;100039;IRIS TECHNIK GMBH;16062,00;Werk Musterhausen
WA300032;13.01.2025;AR500032;100029;PRISMA WERKSTOFFE SE;6114,00;Werk Musterhausen
WA300033;04.01.2025;AR500033;100140;MERKUR HANDEL E.K.;9632,00;Werk Musterhausen
WA300034;29.01.2025;AR500034;100147;NOVA BESCHICHTUNG KG;19590,00;Werk Musterhausen
WA300035;02.01.2025;AR500035;100095;KRONOS MASCHINEN SE;10847,00;Werk Musterhausen
WA300036;31.01.2025;AR500036;100089;LUPUS RECYCLING GMBH;9086,00;Werk Musterhausen
WA300037;04.01.2025;AR500037;100027;BOREAS TRANSPORT AG;17508,00;Werk Musterhausen
WA300038;01.01.2025;AR500038;100149;RATIO DISTRIBUTION GMBH;28146,00;Werk Musterhausen
WA300039;10.01.2025;AR500039;100076;PACTUM LOGISTIK SE;26887,00;Werk Musterhausen
WA300040;25.01.2025;AR500040;100151;KRONOS KUNSTSTOFF KG;54160,00;Werk Musterhausen
WA300041;13.01.2025;AR500041;100093;TERRA RECYCLING GMBH;31284,00;Werk Musterhausen
WA300042;03.01.2025;AR500042;100047;ADLER KARTON KG;19460,00;Werk Musterhausen
WA300043;05.01.2025;AR500043;100078;FALKE SYSTEME GMBH;38597,00;Werk Musterhausen
WA300044;08.01.2025;AR500044;100023;OST PAPIER SE;15553,00;Werk Musterhausen
WA300045;09.01.2025;AR500045;100049;OST KARTON AG;41476,00;Werk Musterhausen
WA300046;28.01.2025;AR500046;100108;ATLAS MASCHINEN AG;5735,00;Werk Musterhausen
WA300047;11.01.2025;AR500047;100104;NORD INDUSTRIEBEDARF GMBH;48283,00;Werk Musterhausen
WA300048;12.01.2025;AR500048;100044;VEGA FORMTEILE GMBH;4014,00;Werk Musterhausen
WA300049;26.01.2025;AR500049;100087;SOLUM VERPACKUNG GMBH;8003,00;Werk Musterhausen
